Enlem,Boylam,Cluster
39.8441,41.7038,0
37.199,37.4405,2
37.8918,27.636,2
40.3563,27.5861,1
36.9036,27.7933,2
40.3656,26.8285,1
38.6526,30.8908,1
36.48,27.3636,1
38.9371,43.4071,2
38.25,30.0233,2
40.005,27.8791,2
38.6931,39.9533,0
38.893,43.5268,2
39.4641,25.9435,2
36.471,27.167,1
38.91,43.5813,2
39.3771,26.15,0
38.3246,38.7476,0
38.0918,28.5415,1
39.4376,28.2071,1
39.6008,40.9063,0
38.9955,26.1583,0
39.8318,41.851,0
38.2066,27.2778,1
36.4511,27.1205,1
37.449,30.4103,1
37.926,42.4476,0
39.1018,37.3235,0
36.4711,27.1503,1
39.6701,27.1001,2
37.8636,32.0385,2
36.0503,27.6983,0
38.5911,31.6366,1
37.6728,26.0726,1
35.727,25.772,1
39.4855,41.8053,0
35.2,27.7646,1
37.5176,33.6725,1
36.9815,26.5655,1
36.541,27.2245,1
39.1398,28.1091,2
37.659,29.3581,1
39.8918,39.7225,0
40.9331,26.5735,1
36.4778,27.208,1
36.4348,27.1443,1
37.854,32.1165,2
35.3445,26.0706,1
40.3088,34.3585,0
37.8548,27.0428,2
37.9988,31.1993,1
36.5636,27.2543,1
37.7111,26.0203,2
37.1998,31.0378,1
37.8833,27.3715,2
39.8095,41.7745,0
37.8975,26.9081,1
37.135,28.6413,1
39.0685,28.5895,2
36.8771,26.7615,0
39.2855,27.6875,1
41.1033,43.7101,1
39.8981,41.8346,0
38.9091,43.4586,0
38.505,39.1623,1
35.234,27.739,1
37.0921,28.5123,1
40.5365,34.3731,2
38.113,38.7223,1
38.4455,43.7868,0
39.21,41.6601,0
36.4538,27.1758,0
37.082,38.576,0
37.2783,31.8845,0
38.266,38.8263,0
36.5155,27.1935,1
38.5105,39.104,0
36.9456,26.5101,1
38.8606,43.4883,0
37.4963,32.042,1
37.8786,26.9681,1
36.6588,27.3086,2
39.7906,41.3803,0
37.3281,37.1198,2
39.9716,33.1543,0
35.8415,30.6141,1
39.7365,41.2423,0
38.7751,31.1741,2
40.4955,30.4663,1
36.499,27.2468,1
37.4565,27.6491,1
41.2285,43.8716,2
39.9166,40.781,1
39.8058,29.6688,0
40.7946,31.0401,0
40.0611,30.4196,1
39.9863,33.5253,1
38.9228,29.8521,1
39.0715,27.5135,2
40.569,30.5776,0
38.8478,26.7323,1
37.5675,29.2081,1
40.7343,31.4871,2
38.0888,43.0548,0
36.926,26.5206,1
40.7078,27.4988,2
37.8013,26.8191,2
37.8913,27.0885,1
37.4845,35.8423,2
37.9143,26.923,2
37.1595,37.1315,0
38.1323,42.6166,0
37.9088,26.9261,1
37.8425,26.839,2
36.6938,27.3835,1
41.2026,43.7216,0
37.5805,29.1905,1
38.6805,30.7708,1
37.9288,27.0928,1
39.339,33.368,1
39.6943,27.8123,0
40.538,34.7525,1
39.8268,41.7731,0
40.7313,27.3071,1
41.0716,42.4568,0
39.7183,42.6413,0
36.8353,27.7701,1
38.9678,35.0315,2
37.9086,27.1151,1
38.2638,28.1985,1
37.8981,26.9446,2
38.3608,38.7241,0
36.544,27.2648,1
40.4423,27.6951,2
37.9203,29.2373,2
36.136,36.4703,1
39.3585,27.7271,2
37.4843,30.4628,0
35.2551,25.2766,1
39.7673,26.1238,1
37.4518,35.8895,2
36.5051,27.1448,1
38.97,42.0091,0
39.3311,26.2696,1
41.4033,43.816,2
37.3316,37.1266,2
36.5241,27.2391,1
37.8778,26.9093,1
40.2051,31.7683,1
40.3513,40.1731,0
38.9026,43.4956,2
37.4861,35.0793,0
37.8083,26.869,0
37.071,28.351,1
38.2526,38.8108,0
36.5263,27.2268,1
39.2985,27.8908,1
39.7191,27.97,2
37.597,26.0085,1
37.9051,27.1826,2
39.9938,27.3995,0
37.0115,37.4043,0
41.1581,43.8303,0
37.4748,27.6563,1
38.9623,42.0288,0
35.697,31.74,2
35.0571,25.3825,1
37.8598,26.9843,1
36.4495,28.7001,2
36.5636,27.2025,1
38.7016,34.1966,1
38.8326,31.3883,2
35.263,27.752,1
38.4361,25.95,2
39.6083,39.7575,1
37.3303,35.6738,0
37.2633,27.9316,2
37.9568,37.692,0
38.1893,38.6858,2
39.1403,37.77,0
37.869,26.3781,2
35.3865,25.1753,1
37.3913,26.7496,2
39.729,27.5815,1
39.2921,39.8501,0
38.907,26.0925,0
40.5355,35.4891,1
38.25,42.8865,0
36.5761,28.0415,2
36.2988,27.0423,1
39.4001,26.3443,1
39.4766,32.7125,0
37.4716,27.6646,1
38.7738,38.2028,2
37.2646,37.3773,2
39.0575,44.2041,1
40.1828,34.13,1
38.2578,38.7853,0
39.759,27.5623,2
38.0333,27.1383,1
40.1846,34.1333,1
39.2988,26.8873,1
37.99,38.1613,1
38.1236,39.5063,0
40.4881,35.4148,0
39.731,27.7201,1
38.4963,39.1495,0
37.8653,27.4855,1
41.119,43.8003,0
41.114,34.1826,2
38.2531,38.8023,0
36.4071,27.1513,1
35.201,25.566,1
38.6101,44.4911,0
36.5398,27.1771,1
39.6575,29.457,2
35.23,25.193,1
34.722,28.328,1
38.9313,26.65,1
38.7606,27.7456,1
36.6303,27.2703,1
41.1045,43.709,2
37.8186,26.0851,2
38.7683,38.1773,0
37.05,28.39,2
35.352,25.3655,1
40.4306,33.3861,2
37.6301,26.1008,2
37.8383,30.2475,1
39.8223,41.7991,0
38.6023,31.6458,1
35.204,25.375,2
41.139,43.6881,0
40.7858,31.0385,0
36.4895,27.1343,1
38.2513,38.8005,0
41.1093,34.9113,0
37.8633,32.105,2
37.7428,27.8075,2
38.9511,27.8883,1
35.358,25.8531,1
35.107,33.907,1
36.513,27.17,1
41.1496,43.6846,0
40.061,40.0176,1
36.4483,28.7765,2
36.65,27.4078,1
36.9445,27.353,1
37.4113,30.4003,2
39.1386,27.244,1
35.3981,27.3443,2
37.7061,26.0268,2
38.7601,43.4293,2
36.3033,27.0533,1
35.27,26.184,1
36.3115,27.1433,1
38.0101,26.208,1
36.4911,27.1228,1
39.171,27.371,2
38.2336,28.1743,2
39.151,36.257,0
36.17,30.586,2
37.8213,27.0093,1
36.5146,27.206,2
38.7283,43.6726,2
36.8773,27.367,1
36.5468,27.2125,1
37.8593,29.5193,0
40.9823,31.4946,1
38.3263,31.0545,1
36.5171,27.2353,1
37.5683,26.0685,2
37.3623,28.0896,2
40.6468,36.8336,0
39.2121,29.16,2
38.934,42.0078,0
36.49,27.179,2
40.0066,42.9826,0
37.351,31.8415,2
37.9638,27.161,1
36.5081,27.1873,1
35.9763,27.5668,1
38.5995,31.619,1
38.9081,43.4908,0
38.7243,39.3386,0
40.013,31.9435,1
40.434,42.3135,0
37.124,28.51,2
36.5281,27.1798,1
40.8705,31.6913,0
39.7813,38.9603,0
39.8026,41.808,0
38.9405,26.0231,0
38.6868,30.766,1
39.4206,27.7531,2
37.9198,26.9218,1
37.8321,32.0765,0
36.3536,36.2593,0
39.3506,44.1028,0
37.1023,30.3905,2
39.4695,28.218,0
40.2838,29.4248,1
41.0155,40.7336,1
37.804,27.3105,0
39.1186,32.3251,2
39.0293,30.0561,0
36.4801,27.2421,1
36.4993,27.264,0
38.9218,29.9958,1
38.5841,40.9705,0
38.0853,32.6996,2
34.9461,27.308,1
35.1443,27.7035,1
38.7968,38.1101,2
36.5611,27.2526,1
36.564,27.2418,1
37.6931,29.3493,1
40.992,31.4943,2
41.0835,43.6655,0
38.1905,38.683,1
39.7078,30.9473,1
38.994,25.9101,1
41.1691,43.8343,0
38.8831,27.8206,0
37.8576,27.3363,1
36.5018,27.1985,1
37.8041,32.076,0
39.4316,27.9373,0
36.4838,27.171,1
39.257,40.8005,0
37.6706,26.2983,2
36.9991,29.0831,2
37.4561,37.9765,1
38.983,43.579,0
40.5426,27.7238,2
39.4703,26.3538,1
38.9256,31.3951,2
38.8655,43.5195,2
38.6628,27.507,1
38.4665,39.5713,0
35.1213,27.3521,1
37.0933,28.4796,1
36.9145,27.3063,2
38.3893,44.5306,0
39.0285,27.3826,0
37.4648,35.3206,1
39.504,25.5225,1
39.9488,35.3331,2
40.1405,31.7888,2
37.8775,32.106,2
41.126,43.8185,1
37.9188,27.6245,0
36.6623,31.4426,0
36.454,27.1543,1
37.724,30.081,1
37.1783,35.9053,0
38.6753,30.7788,2
37.141,36.4896,0
34.788,33.0211,2
35.248,26.4221,1
36.6173,27.268,1
37.4273,26.9853,2
40.8733,41.885,0
38.144,34.2698,0
39.6725,27.797,1
36.5108,27.1708,1
40.6485,30.4941,0
36.4898,27.251,1
39.0758,28.3313,2
38.5693,31.6353,2
34.982,26.2623,1
36.4498,27.1963,1
40.179,31.9041,2
38.9105,35.5921,1
40.4461,44.9816,2
34.9005,33.038,0
40.3655,28.6216,0
41.1498,43.888,1
37.1223,44.2743,0
39.777,35.1376,1
41.015,39.1281,0
39.1543,29.49,1
36.8566,35.8458,0
38.2391,38.8188,0
38.946,27.9658,2
38.759,27.7431,1
37.3696,35.0436,0
39.237,27.4545,2
37.037,28.7708,2
40.7895,30.9561,0
36.9101,32.5663,1
35.2606,25.3271,1
36.5233,27.2291,1
38.905,27.88,1
36.5315,27.2805,1
37.8116,27.1443,1
39.648,26.606,1
37.3823,35.0506,0
38.259,38.8401,0
38.2485,38.8101,0
37.915,32.1103,2
40.6763,27.4825,0
36.6245,27.3586,1
37.81,28.792,1
37.8598,26.4488,1
39.4443,28.2271,2
37.6976,26.1166,1
35.5641,26.8263,2
40.9018,41.5043,0
37.852,26.3838,1
39.8303,41.8146,0
39.7601,30.1708,1
36.5408,27.2221,1
37.7161,26.0456,2
41.1485,43.829,0
36.8893,27.6463,0
37.5578,24.1486,2
36.6195,27.2956,1
36.5801,27.3006,1
40.2686,40.8098,0
40.1381,28.8665,2
37.6828,25.9635,1
37.497,45.5216,0
37.8345,27.0541,2
37.831,36.1328,2
36.5068,27.1551,1
36.4938,27.1765,1
40.113,43.5596,0
37.903,29.2931,2
36.4856,27.1095,1
36.8528,27.689,1
39.5596,41.1185,0
39.6991,28.4068,2
39.185,34.134,0
41.574,32.4995,2
37.1601,37.1786,0
38.1406,27.5838,2
39.128,28.5436,1
39.9898,33.1818,2
38.5906,31.6516,1
36.327,29.2433,1
35.1293,27.613,1
37.532,30.2521,0
36.4593,27.196,1
39.9718,41.795,0
38.904,43.5035,2
40.7131,32.9846,1
35.4788,26.0756,1
37.652,26.0095,2
39.9403,28.7163,0
37.6081,29.2071,0
37.0325,28.1408,1
39.978,33.163,0
39.8031,41.8071,0
38.7095,26.5781,1
39.4928,26.8288,1
41.4183,43.8478,2
38.8973,25.9416,0
36.628,27.33,1
38.3046,38.3053,2
34.3905,26.4398,1
37.8966,26.9346,1
40.3981,26.1905,2
36.1455,31.5241,1
38.5773,30.3595,0
38.2875,43.1721,1
38.2646,38.7775,0
38.2693,38.7961,0
36.5456,27.0701,1
36.5285,27.142,2
36.928,27.7208,1
37.6871,26.0821,2
36.4803,30.3143,1
38.1261,38.7096,1
36.6821,27.0971,1
38.041,41.7281,0
36.6685,27.4505,1
38.3495,38.7403,0
37.8821,29.4401,1
37.6558,44.0886,2
38.963,42.0226,0
38.0123,27.1163,1
40.7918,41.5255,2
38.2576,38.8243,0
37.435,30.3928,1
37.4276,30.3766,1
39.0528,27.7943,1
39.3571,40.6883,0
39.7346,30.1915,2
38.0093,29.072,0
36.5488,27.244,1
39.5735,28.7885,1
39.3538,38.8128,0
38.5051,26.6511,2
37.8108,29.6486,1
37.4481,30.3953,1
35.369,24.464,1
38.6066,31.6286,2
35.5778,26.591,1
36.429,27.041,1
37.418,30.3646,1
39.133,33.9205,0
40.5985,36.8101,0
37.6806,29.335,1
39.0803,40.4856,0
38.9365,42.032,1
36.5775,27.3101,1
41.2471,41.6001,0
37.4568,27.6331,1
40.1336,31.7328,0
40.9131,39.8095,0
37.8405,27.3365,2
40.5461,35.7743,0
37.5718,29.5003,2
37.7485,26.9706,1
36.4891,28.756,2
39.7651,33.3555,2
37.1156,37.1651,2
37.3298,35.0075,0
36.4568,27.1648,1
37.7815,26.8766,0
37.4513,30.3925,1
36.6961,27.2923,1
36.4863,27.2481,1
39.2285,27.677,0
40.1796,29.1511,2
36.4586,33.9851,0
40.0696,35.069,2
38.2015,38.6291,0
40.8173,34.8585,1
39.3771,37.3123,2
