EventID,Enlem,Boylam,Derinlik,Rms,Büyüklük,İl,Gün,Ay,Yıl,Saat,Dakika,Saniye
517895,38.6733,44.6161,7.01,0.68,2.1,80,20,12,2021,18,19,29
517893,36.9235,27.3135,7.0,0.31,1.7,100,20,12,2021,17,49,57
517892,38.9748,32.93,6.72,0.66,1.5,87,20,12,2021,17,23,47
517891,37.853,26.8726,7.0,0.8,1.1,70,20,12,2021,16,50,52
517890,36.6311,27.8918,31.38,0.87,2.1,100,20,12,2021,16,20,57
517889,38.4943,29.1643,7.0,0.69,0.9,134,20,12,2021,16,09,05
517888,38.4811,29.144,7.0,0.64,1.1,134,20,12,2021,16,06,43
517887,37.4676,32.5071,6.97,0.62,1.5,87,20,12,2021,15,11,07
517885,40.6345,27.4111,7.02,0.6,2.0,26,20,12,2021,14,42,00
517886,40.909,31.6843,7.0,0.34,1.6,33,20,12,2021,14,30,20
517884,36.5761,28.0415,6.9,0.2,2.7,100,20,12,2021,14,05,20
517883,39.456,33.3933,6.93,0.7,0.8,14,20,12,2021,12,54,38
517882,37.532,30.2521,6.91,0.72,1.5,34,20,12,2021,12,11,06
517881,36.4483,28.7765,8.77,0.19,1.5,100,20,12,2021,11,18,17
517877,37.8543,29.2441,8.6,0.73,0.9,41,20,12,2021,10,54,28
517876,37.853,29.243,9.3,0.9,1.4,41,20,12,2021,10,54,01
517880,40.6515,42.5351,5.75,0.49,1.3,51,20,12,2021,10,49,54
517878,39.9365,27.2398,12.68,0.49,1.2,142,20,12,2021,10,49,15
517879,37.5408,32.6605,7.01,0.49,1.2,87,20,12,2021,10,47,37
517875,37.5313,32.6126,7.0,0.55,1.4,87,20,12,2021,10,38,10
517874,37.0986,38.7531,6.52,0.41,2.0,117,20,12,2021,10,16,47
517873,34.7803,26.2243,5.98,0.99,2.8,139,20,12,2021,09,49,30
517872,38.0338,25.8873,7.0,0.36,1.4,70,20,12,2021,09,37,38
517871,38.267,38.7706,7.08,0.32,2.1,94,20,12,2021,09,20,35
517870,37.8918,27.636,7.0,0.16,1.4,22,20,12,2021,08,50,19
517869,37.8801,27.6073,7.01,0.58,1.6,22,20,12,2021,07,05,02
517863,37.0615,28.3951,7.01,0.42,2.4,100,20,12,2021,06,46,19
517865,37.8636,32.0385,7.0,0.56,1.5,87,20,12,2021,06,30,56
517864,38.0551,38.3558,8.63,0.44,1.6,3,20,12,2021,06,29,57
517866,40.1673,31.6978,7.05,0.68,1.7,14,20,12,2021,05,59,30
517868,37.869,26.3781,6.48,0.42,1.7,70,20,12,2021,02,17,10
517867,37.8708,26.419,6.54,0.22,2.2,70,20,12,2021,02,12,58
517862,37.8673,26.4006,8.38,0.2,2.6,70,20,12,2021,02,07,46
517861,40.8288,39.2316,7.96,0.61,2.1,132,19,12,2021,23,05,29
517860,37.8918,35.1591,7.01,0.46,2.6,104,19,12,2021,20,33,08
517859,38.4905,26.688,7.01,0.48,1.9,70,19,12,2021,18,37,35
517858,37.4075,29.1611,7.0,0.4,1.4,41,19,12,2021,18,34,29
517857,36.069,28.4968,41.17,0.46,2.4,100,19,12,2021,18,32,12
517856,38.5051,26.6511,9.81,0.24,1.8,70,19,12,2021,17,45,27
517855,37.7808,26.19,5.88,0.52,2.0,70,19,12,2021,17,42,13
517854,38.2231,38.9503,8.17,0.39,2.1,94,19,12,2021,17,29,10
517853,36.9613,27.9688,7.0,0.62,1.6,100,19,12,2021,17,07,41
517852,37.0631,28.3655,7.0,0.47,1.6,100,19,12,2021,15,49,52
517851,37.0523,28.38,7.0,0.33,1.3,100,19,12,2021,15,42,11
517850,37.1333,28.6745,6.95,0.48,1.4,100,19,12,2021,15,34,40
517849,37.9231,27.0953,7.0,0.61,1.7,70,19,12,2021,13,00,32
517845,40.7933,31.9258,10.18,0.28,2.4,33,19,12,2021,12,17,08
517848,36.3356,29.4996,7.0,0.29,1.2,15,19,12,2021,11,35,31
517847,36.29,29.4731,7.7,0.25,1.5,15,19,12,2021,11,34,53
517846,36.298,29.455,6.86,0.55,1.9,15,19,12,2021,11,34,11
517842,34.8586,26.805,5.96,0.44,3.5,139,19,12,2021,10,23,45
517843,41.1258,43.7261,5.43,0.28,1.6,105,19,12,2021,10,09,00
517844,36.0421,29.7373,7.19,0.45,1.8,15,19,12,2021,10,07,44
517841,40.468,29.276,7.32,0.44,1.7,36,19,12,2021,06,58,31
517839,37.3623,28.0896,7.0,0.23,1.9,100,19,12,2021,02,36,51
517838,36.811,30.3816,21.32,0.45,2.5,15,19,12,2021,02,33,33
517837,37.5051,36.1813,15.93,0.37,2.4,108,19,12,2021,02,33,32
517840,37.0481,28.3643,7.0,0.56,1.6,100,19,12,2021,02,29,22
517834,38.7115,26.5561,6.91,0.48,1.8,70,19,12,2021,01,13,31
517835,36.4628,27.07,7.17,0.21,2.1,100,19,12,2021,00,43,33
517836,38.2708,38.8435,4.91,0.3,1.8,94,18,12,2021,23,00,43
517833,36.211,28.9028,17.46,0.21,3.0,100,18,12,2021,22,27,57
517832,36.946,27.7093,7.06,0.26,1.4,100,18,12,2021,21,26,37
517831,37.8331,35.1626,7.0,0.39,1.4,104,18,12,2021,20,35,31
517830,34.9788,26.0543,7.32,0.71,2.8,139,18,12,2021,20,24,49
517829,37.7713,26.8055,7.05,0.57,1.7,115,18,12,2021,19,23,36
517828,37.8668,32.0921,7.04,0.63,1.5,87,18,12,2021,18,27,01
517827,41.1596,43.8371,7.02,0.37,1.9,119,18,12,2021,18,19,10
517826,39.8153,41.8036,6.95,0.49,1.9,51,18,12,2021,17,19,05
517825,37.5661,30.4965,6.69,0.25,1.4,34,18,12,2021,15,30,53
517824,37.058,28.3606,7.0,0.21,1.0,100,18,12,2021,14,45,02
517823,39.8103,41.8063,7.0,0.14,1.6,51,18,12,2021,13,55,16
517822,37.3513,31.9035,7.03,0.43,1.9,87,18,12,2021,12,29,45
517821,38.645,26.6378,7.0,0.18,3.1,70,18,12,2021,12,19,07
517820,37.9083,27.145,7.0,0.63,3.3,70,18,12,2021,10,53,20
517819,36.5166,27.2356,7.04,0.48,3.2,100,18,12,2021,09,45,13
517818,36.5381,27.2221,6.41,0.7,2.4,100,18,12,2021,09,43,48
517809,36.717,23.7993,3.25,0.54,4.5,48,18,12,2021,08,16,44
517810,37.053,28.3775,6.91,0.5,1.8,100,18,12,2021,07,55,43
517811,36.707,33.7845,18.9,0.34,2.3,98,18,12,2021,07,32,38
517808,39.01,27.8968,7.01,0.33,3.1,96,18,12,2021,06,24,02
517807,38.9966,27.8981,10.42,0.48,3.4,96,18,12,2021,06,21,35
517812,40.6161,36.6878,6.83,0.46,2.0,130,18,12,2021,06,09,29
517814,38.2713,38.769,6.95,0.37,2.0,94,18,12,2021,05,55,36
517813,39.3085,26.1313,7.05,0.58,2.4,91,18,12,2021,05,53,02
517815,37.3913,26.7496,7.07,0.25,1.7,22,18,12,2021,05,34,02
517816,37.7398,26.1681,7.02,0.39,1.7,70,18,12,2021,03,42,58
517817,37.1321,27.6016,6.96,0.35,1.4,100,18,12,2021,03,39,30
517804,36.1448,27.6761,26.92,0.2,3.9,100,18,12,2021,02,37,41
517806,38.827,26.6258,7.01,0.27,1.7,70,18,12,2021,01,41,33
517805,37.0528,28.3873,6.87,0.58,1.7,100,18,12,2021,00,52,49
517803,37.0518,28.375,4.52,0.32,3.0,100,18,12,2021,00,44,23
517802,38.2778,38.729,7.0,0.38,1.5,94,17,12,2021,23,01,05
517801,38.2476,38.7515,7.0,0.43,1.3,94,17,12,2021,23,00,02
517800,37.7035,26.1075,7.01,0.25,1.8,70,17,12,2021,22,02,17
517799,37.8885,27.0758,7.0,0.47,1.4,70,17,12,2021,21,41,39
517798,36.5875,38.0708,8.73,0.48,1.6,95,17,12,2021,20,10,18
517797,37.8956,26.5383,6.57,0.38,1.8,70,17,12,2021,19,52,59
517796,37.64,27.0621,7.0,0.18,1.5,22,17,12,2021,19,23,46
517795,39.3156,27.702,6.98,0.41,1.8,96,17,12,2021,18,09,54
517794,38.8671,31.0366,10.98,0.52,1.7,5,17,12,2021,17,50,30
517792,38.5231,29.1685,7.0,0.98,0.9,134,17,12,2021,17,44,09
517793,38.5056,29.1656,7.0,0.61,0.7,134,17,12,2021,17,42,29
517791,39.842,41.7753,7.0,0.82,1.3,51,17,12,2021,17,21,24
517789,38.2506,38.821,7.0,0.11,1.0,94,17,12,2021,15,11,05
517790,36.1973,35.9796,7.02,0.38,2.1,63,17,12,2021,15,05,26
517788,37.1673,37.4688,7.09,0.89,1.9,54,17,12,2021,14,58,04
517786,39.6475,30.0885,7.0,0.19,1.0,89,17,12,2021,14,21,34
517787,39.9935,41.7228,7.0,0.95,1.1,51,17,12,2021,14,16,37
517785,39.7091,30.2393,7.0,0.37,1.1,52,17,12,2021,14,13,05
517784,41.119,43.8003,7.0,0.45,1.9,119,17,12,2021,13,54,14
517783,39.8808,41.7628,7.0,0.75,1.5,51,17,12,2021,13,40,43
517781,38.0811,27.2393,7.0,0.37,1.2,70,17,12,2021,13,10,55
517782,39.759,27.5623,7.0,0.61,0.9,26,17,12,2021,13,08,52
517780,40.4075,39.3175,7.0,0.1,1.3,59,17,12,2021,13,08,22
517778,37.0738,28.3503,7.0,0.33,1.0,100,17,12,2021,12,58,40
517777,41.942,33.6528,7.12,0.3,1.6,76,17,12,2021,12,46,02
517773,40.4748,34.2145,7.06,0.41,4.1,144,17,12,2021,12,28,34
517776,40.3981,26.1905,7.0,0.16,1.2,142,17,12,2021,12,22,56
517774,39.6271,38.6255,6.99,0.23,1.7,50,17,12,2021,12,09,34
517775,37.8403,27.0281,6.75,0.56,2.1,22,17,12,2021,12,02,16
517772,40.7965,31.3413,7.0,0.28,1.2,46,17,12,2021,11,53,13
517771,40.821,34.7881,7.0,0.23,1.6,144,17,12,2021,11,44,35
517770,40.8191,34.7555,7.01,0.48,1.8,144,17,12,2021,11,44,15
517769,41.2023,43.8795,6.96,0.42,2.0,105,17,12,2021,11,40,38
517768,37.8928,27.1048,6.95,0.26,1.9,70,17,12,2021,10,55,27
517767,38.3403,39.8281,3.16,0.17,1.5,43,17,12,2021,10,39,16
517779,41.1553,43.8166,4.97,0.36,2.6,105,17,12,2021,10,10,10
517766,38.9186,42.0281,7.0,0.87,1.4,101,17,12,2021,09,59,28
517765,39.0941,37.4208,7.0,0.88,1.2,124,17,12,2021,09,49,54
517764,37.4256,38.7771,6.99,0.71,1.3,117,17,12,2021,09,43,10
517763,41.4033,43.816,7.01,0.48,1.3,105,17,12,2021,09,01,59
517762,39.3433,40.9013,7.0,0.54,1.2,31,17,12,2021,08,56,18
517761,37.0403,28.158,6.99,0.35,1.3,100,17,12,2021,07,55,12
517760,37.9605,28.9893,7.0,0.24,1.4,41,17,12,2021,07,30,57
517759,41.113,43.736,7.01,0.38,1.5,105,17,12,2021,07,25,28
517758,38.4143,26.7651,7.0,0.14,1.2,70,17,12,2021,07,12,30
517754,37.692,26.0883,6.89,0.4,2.3,70,17,12,2021,05,48,05
517755,38.0165,27.0093,11.03,0.49,1.6,70,17,12,2021,05,29,10
517756,37.0561,35.7406,33.33,0.35,1.9,2,17,12,2021,05,01,30
517757,38.863,26.9528,7.0,0.41,1.5,70,17,12,2021,04,49,36
517753,38.0265,31.3903,6.96,0.52,1.9,67,17,12,2021,04,30,34
517751,37.8205,27.173,7.39,0.34,1.7,22,17,12,2021,04,07,41
517752,38.958,26.3978,6.94,0.28,2.0,70,17,12,2021,03,49,02
517750,38.083,38.3493,4.17,0.2,1.6,3,17,12,2021,01,10,22
