@relation afad_deprem_listesi_-_Kopya_-_TR_2

@attribute Enlem numeric
@attribute Boylam numeric
@attribute Derinlik numeric
@attribute Büyüklük numeric

@data
40.357,26.9181,7,1.3
39.0658,28.19,7,1.4
37.8953,32.0896,7.01,1.6
40.3848,26.9271,7,1
40.3663,26.9076,9.94,1.5
40.3773,26.8883,7,1.2
40.35,26.8833,15.87,1.9
39.1255,29.0575,11.65,1.1
39.0288,37.983,7,1.1
38.395,39.1995,7,1.2
40.8478,31.6708,7.07,1.1
40.8501,39.7218,13.93,1.5
39.8641,40.236,7,1
39.7555,40.7705,7,1.4
39.1461,27.3881,7,1.7
39.2543,41.2681,11.84,1.6
37.8578,28.5938,7,1.2
36.9203,27.6741,6.88,2.2
37.508,29.2638,7,1.4
37.4085,37.1016,6.19,1.5
37.3316,37.1266,6.24,1.8
39.7818,39.1925,11.35,2.3
37.1186,38.705,7.05,1.7
37.8816,35.2438,7,1.9
37.8903,27.0793,6.98,2
40.0221,39.8975,15.44,1.9
39.8423,41.8245,6.95,1.8
38.9886,42.4246,7.05,2.5
40.5041,29.0971,7.06,2.5
38.353,38.9448,7.11,1.8
39.5636,27.9105,7.01,1.6
39.7956,30.1521,7,1
37.799,31.0593,6.99,1.5
39.5096,28.8291,6.99,1.7
36.978,29.2521,7,1.7
39.2701,29.2733,6.98,1
38.2636,38.8171,7,1.6
37.954,29.1561,6.99,1.5
36.513,31.3886,8.22,1.9
37.3035,31.8413,7,1.8
40.023,28.6065,3.18,1.8
38.9678,35.0315,8.44,1.1
38.46,29.1575,7,1.3
39.737,40.7138,7,1.9
37.8565,32.1141,9.21,3.2
37.6558,44.0886,6.94,2
40.2071,29.2823,5.57,1.3
38.7228,43.427,7.11,1.6
38.7113,43.4733,20.37,3
39.7651,33.3555,7,1
39.7375,33.3365,6.98,1.4
39.8456,41.7951,7,1.2
38.3223,38.7741,7.12,1.9
39.3266,42.1131,26.49,1.7
41.1741,33.9,6.96,1.4
38.5858,43.1578,7.02,1
39.1455,41.1596,10.38,2.3
38.2431,40.9181,6.9,1.5
37.156,28.648,6.98,1.4
38.9531,26.9318,13.98,1.7
40.7343,31.4871,7,1
39.9436,41.8728,7.01,1.1
39.4333,28.2035,7,1.9
41.5505,33.6206,6.93,1.2
40.481,35.2876,15.1,1.3
38.4826,39.3455,7,1
37.0791,28.3515,7,1.3
36.9785,28.2221,7,1.2
39.8383,41.8305,7,1.3
37.9203,27.1361,7,1.4
40.0696,35.069,6.98,1.4
38.5631,44.2068,7.02,1.4
39.6186,42.7861,7,1.3
39.83,33.2573,7,1
38.8676,43.5236,17.62,1.3
38.6708,31.367,6.72,0.9
40.3225,41.5923,7,1.2
37.8306,32.0701,7,1.1
39.542,33.89,12,1.2
38.229,38.8193,6.83,1
37.8598,27.6383,7.06,1.3
37.8685,27.6296,7,1.3
37.8915,27.6145,7.17,1.6
37.8625,27.6558,7,1.4
40.1826,42.9983,7.01,1.2
40.183,43.0031,6.99,1.4
37.8791,29.2583,11.8,1.4
38.1405,34.955,7.02,1.1
39.93,44.1546,2.01,1.9
38.9018,43.5831,14.75,2
39.6131,43.8318,7.97,1.4
39.018,42.162,7,1.2
39.5908,28.8846,6.86,1.2
39.627,28.473,16.3,1.3
39.4425,31.526,7.02,1.6
39.6268,41.4033,7,1.1
38.8691,43.544,15.66,2
36.6088,33.3738,7,1.2
39.4373,33.9981,9.43,1
39.516,28.8573,6.98,2.4
38.1893,38.6858,7,1.4
40.4321,37.3123,7,1.4
36.6341,29.5338,7.26,1.6
38.6786,39.5926,10.55,2.5
36.4521,35.7473,13.38,2.6
37.9143,29.285,7,1.4
37.918,29.242,17.08,1.6
37.8985,29.2721,7.1,1.5
37.933,29.279,7.01,2.3
