Enlem,Boylam,Derinlik,Büyüklük,Gün,Ay,Yıl,Saat,Dakika,Saniye
37.8885,27.0758,7,1.4,17,12,2021,21,41,39
36.5875,38.0708,8.73,1.6,17,12,2021,20,10,18
37.8956,26.5383,6.57,1.8,17,12,2021,19,52,59
37.64,27.0621,7,1.5,17,12,2021,19,23,46
39.3156,27.702,6.98,1.8,17,12,2021,18,9,54
38.8671,31.0366,10.98,1.7,17,12,2021,17,50,30
38.5231,29.1685,7,0.9,17,12,2021,17,44,9
38.5056,29.1656,7,0.7,17,12,2021,17,42,29
39.842,41.7753,7,1.3,17,12,2021,17,21,24
38.2506,38.821,7,1,17,12,2021,15,11,5
36.1973,35.9796,7.02,2.1,17,12,2021,15,5,26
37.1673,37.4688,7.09,1.9,17,12,2021,14,58,4
39.6475,30.0885,7,1,17,12,2021,14,21,34
39.9935,41.7228,7,1.1,17,12,2021,14,16,37
39.7091,30.2393,7,1.1,17,12,2021,14,13,5
41.119,43.8003,7,1.9,17,12,2021,13,54,14
39.8808,41.7628,7,1.5,17,12,2021,13,40,43
38.0811,27.2393,7,1.2,17,12,2021,13,10,55
39.759,27.5623,7,0.9,17,12,2021,13,8,52
40.4075,39.3175,7,1.3,17,12,2021,13,8,22
37.0738,28.3503,7,1,17,12,2021,12,58,40
41.942,33.6528,7.12,1.6,17,12,2021,12,46,2
40.4748,34.2145,7.06,4.1,17,12,2021,12,28,34
40.3981,26.1905,7,1.2,17,12,2021,12,22,56
39.6271,38.6255,6.99,1.7,17,12,2021,12,9,34
37.8403,27.0281,6.75,2.1,17,12,2021,12,2,16
40.7965,31.3413,7,1.2,17,12,2021,11,53,13
40.821,34.7881,7,1.6,17,12,2021,11,44,35
40.8191,34.7555,7.01,1.8,17,12,2021,11,44,15
41.2023,43.8795,6.96,2,17,12,2021,11,40,38
37.8928,27.1048,6.95,1.9,17,12,2021,10,55,27
38.3403,39.8281,3.16,1.5,17,12,2021,10,39,16
41.1553,43.8166,4.97,2.6,17,12,2021,10,10,10
38.9186,42.0281,7,1.4,17,12,2021,9,59,28
39.0941,37.4208,7,1.2,17,12,2021,9,49,54
37.4256,38.7771,6.99,1.3,17,12,2021,9,43,10
41.4033,43.816,7.01,1.3,17,12,2021,9,1,59
39.3433,40.9013,7,1.2,17,12,2021,8,56,18
37.0403,28.158,6.99,1.3,17,12,2021,7,55,12
37.9605,28.9893,7,1.4,17,12,2021,7,30,57
41.113,43.736,7.01,1.5,17,12,2021,7,25,28
38.4143,26.7651,7,1.2,17,12,2021,7,12,30
37.692,26.0883,6.89,2.3,17,12,2021,5,48,5
38.0165,27.0093,11.03,1.6,17,12,2021,5,29,10
37.0561,35.7406,33.33,1.9,17,12,2021,5,1,30
38.863,26.9528,7,1.5,17,12,2021,4,49,36
38.0265,31.3903,6.96,1.9,17,12,2021,4,30,34
37.8205,27.173,7.39,1.7,17,12,2021,4,7,41
38.958,26.3978,6.94,2,17,12,2021,3,49,2
38.083,38.3493,4.17,1.6,17,12,2021,1,10,22
41.1653,43.7158,7.44,2.1,16,12,2021,23,24,18
39.0086,30.1531,6.98,2,16,12,2021,23,18,44
37.0233,28.262,7.03,1.6,16,12,2021,22,49,51
37.8403,26.8918,7,1.4,16,12,2021,21,56,49
41.0965,43.7065,7.43,2.1,16,12,2021,21,35,0
38.8371,26.9371,7,1.4,16,12,2021,21,26,31
41.184,43.799,7.46,2.3,16,12,2021,20,50,49
40.0295,40.0198,7.01,2.6,16,12,2021,20,17,15
39.341,40.75,11.48,3.1,16,12,2021,20,8,35
37.3865,27.5431,6.99,1.4,16,12,2021,19,41,22
38.9288,26.1035,25.13,3.4,16,12,2021,18,44,44
38.0408,26.2441,7.03,1.8,16,12,2021,18,36,38
38.921,26.116,7,2,16,12,2021,18,34,31
39.3235,41.2041,7,1.9,16,12,2021,18,9,22
38.3761,39.7688,12.54,1.6,16,12,2021,17,35,43
37.8425,26.839,7,1.7,16,12,2021,16,21,34
40.0205,28.879,24.11,1.7,16,12,2021,16,12,51
37.925,37.9906,7,1.7,16,12,2021,15,56,1
37.9311,37.993,7,1.3,16,12,2021,15,54,27
41.1691,43.8343,6.84,1.8,16,12,2021,15,47,20
39.3673,40.769,7.03,2.1,16,12,2021,14,34,14
38.0176,30.2298,6.98,1.6,16,12,2021,13,21,48
38.616,31.052,9.69,2,16,12,2021,12,57,31
41.1875,43.8555,5.88,2,16,12,2021,12,43,41
37.351,31.8415,6.55,1.6,16,12,2021,12,32,30
39.0108,28.0425,7,2,16,12,2021,12,23,54
39.0818,27.5093,7,1.4,16,12,2021,12,22,9
40.0665,35.2428,6.97,1,16,12,2021,11,52,35
